"","TeamName","Season","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM","seed","BY.YEAR.NO","BY.ROUND.NO","TEAM.NO","SEED","ROUND","CURRENT.ROUND","SCORE","Win","Upset"
"1","Memphis",2008,70.5062,59,67.7113,63,112.778,18,114.695,25,85.6765,1,85.3169,1,29.3779,3,"1",1,1,37,1,2,2,68,FALSE,0
"2","Kansas",2008,68.8789,106,66.8546,88,117.53,1,121.433,1,89.3201,4,87.4681,3,33.9647,1,"1",2,2,43,1,1,2,75,TRUE,0
"3","UCLA",2008,65.0976,246,63.1761,220,113.555,10,118.735,6,91.6434,8,88.16,4,30.5753,2,"1",3,31,13,1,4,4,63,FALSE,0
"4","Memphis",2008,70.5062,59,67.7113,63,112.778,18,114.695,25,85.6765,1,85.3169,1,29.3779,3,"1",4,32,37,1,2,4,78,TRUE,0
"5","Kansas",2008,68.8789,106,66.8546,88,117.53,1,121.433,1,89.3201,4,87.4681,3,33.9647,1,"1",5,33,43,1,1,4,84,TRUE,0
"6","North Carolina",2008,76.0195,3,71.9191,8,115.213,4,120.686,2,94.7521,33,92.5415,20,28.1446,4,"1",6,34,31,1,4,4,66,FALSE,0
"7","Xavier",2008,65.1599,243,62.8978,235,115.214,3,116.413,12,95.7631,45,94.068,30,22.3453,13,"3",7,91,1,3,8,8,57,FALSE,0
"8","UCLA",2008,65.0976,246,63.1761,220,113.555,10,118.735,6,91.6434,8,88.16,4,30.5753,2,"1",8,92,13,1,4,8,76,TRUE,0
"9","Texas",2008,65.3642,230,63.0818,226,113.986,8,119.757,4,98.3626,80,94.9061,40,24.8513,8,"2",9,93,15,2,8,8,67,FALSE,0
"10","Memphis",2008,70.5062,59,67.7113,63,112.778,18,114.695,25,85.6765,1,85.3169,1,29.3779,3,"1",10,94,37,1,2,8,85,TRUE,0
"11","Davidson",2008,68.3431,122,66.0806,111,113.318,12,114.056,30,92.4581,15,93.5027,25,20.5532,18,"10",11,95,51,10,8,8,57,FALSE,0
"12","Kansas",2008,68.8789,106,66.8546,88,117.53,1,121.433,1,89.3201,4,87.4681,3,33.9647,1,"1",12,96,43,1,1,8,59,TRUE,0
"13","Louisville",2008,66.9599,174,64.6887,158,106.523,85,111.828,48,90.9933,7,88.6299,5,23.198,11,"3",13,97,39,3,8,8,73,FALSE,0
"14","North Carolina",2008,76.0195,3,71.9191,8,115.213,4,120.686,2,94.7521,33,92.5415,20,28.1446,4,"1",14,98,31,1,4,8,83,TRUE,0
"15","West Virginia",2008,66.2223,195,63.0942,225,111.246,23,113.57,33,95.1209,38,93.4302,24,20.14,20,"7",15,211,5,7,16,16,75,FALSE,0
"16","Xavier",2008,65.1599,243,62.8978,235,115.214,3,116.413,12,95.7631,45,94.068,30,22.3453,13,"3",16,212,1,3,8,16,79,TRUE,0
"17","Western Kentucky",2008,68.7887,110,66.5432,99,110.914,28,111.076,54,94.3478,28,97.011,60,14.0646,45,"12",17,213,4,12,16,16,78,FALSE,0
"18","UCLA",2008,65.0976,246,63.1761,220,113.555,10,118.735,6,91.6434,8,88.16,4,30.5753,2,"1",18,214,13,1,4,16,88,TRUE,0
"19","Texas",2008,65.3642,230,63.0818,226,113.986,8,119.757,4,98.3626,80,94.9061,40,24.8513,8,"2",19,215,15,2,8,16,82,TRUE,0
"20","Stanford",2008,64.2448,277,62.7524,241,108.798,53,113.328,36,93.2203,23,89.3924,6,23.9361,9,"3",20,216,18,3,16,16,62,FALSE,0
"21","Michigan St.",2008,64.1595,278,62.7366,243,110.648,32,115.444,18,96.6843,55,94.5625,35,20.8814,17,"5",21,217,35,5,16,16,74,FALSE,0
"22","Memphis",2008,70.5062,59,67.7113,63,112.778,18,114.695,25,85.6765,1,85.3169,1,29.3779,3,"1",22,218,37,1,2,16,92,TRUE,0
"23","Davidson",2008,68.3431,122,66.0806,111,113.318,12,114.056,30,92.4581,15,93.5027,25,20.5532,18,"10",23,219,51,10,8,16,73,TRUE,1
"24","Wisconsin",2008,62.192,311,60.8809,300,108.495,56,113.619,32,86.5633,2,86.2081,2,27.4107,6,"3",24,220,2,3,16,16,56,FALSE,0
"25","Villanova",2008,69.3156,91,67.2121,82,105.009,114,108.903,81,100.144,119,95.9216,45,12.9811,55,"12",25,221,7,12,16,16,57,FALSE,0
"26","Kansas",2008,68.8789,106,66.8546,88,117.53,1,121.433,1,89.3201,4,87.4681,3,33.9647,1,"1",26,222,43,1,1,16,72,TRUE,0
"27","Tennessee",2008,72.725,16,69.5841,21,113.093,13,117.787,7,97.7163,74,95.4494,43,22.3372,15,"2",27,223,16,2,16,16,60,FALSE,0
"28","Louisville",2008,66.9599,174,64.6887,158,106.523,85,111.828,48,90.9933,7,88.6299,5,23.198,11,"3",28,224,39,3,8,16,79,TRUE,1
"29","Washington St.",2008,59.3335,335,57.7887,334,111.872,22,116.272,15,94.7272,32,92.3676,16,23.9044,10,"4",29,225,6,4,16,16,47,FALSE,0
"30","North Carolina",2008,76.0195,3,71.9191,8,115.213,4,120.686,2,94.7521,33,92.5415,20,28.1446,4,"1",30,226,31,1,4,16,68,TRUE,0
"31","Duke",2008,74.3046,12,70.9709,12,112.963,15,117.443,8,93.0572,20,89.8149,7,27.6285,5,"2",31,451,49,2,32,32,67,FALSE,0
"32","West Virginia",2008,66.2223,195,63.0942,225,111.246,23,113.57,33,95.1209,38,93.4302,24,20.14,20,"7",32,452,5,7,16,32,73,TRUE,1
"33","Xavier",2008,65.1599,243,62.8978,235,115.214,3,116.413,12,95.7631,45,94.068,30,22.3453,13,"3",33,453,1,3,8,32,85,TRUE,0
"34","Purdue",2008,65.7475,213,65.7787,125,104.211,130,109.692,71,92.1032,11,91.6027,13,18.089,30,"6",34,454,24,6,32,32,78,FALSE,0
"35","San Diego",2008,65.2102,238,62.4343,257,98.9013,220,101.501,198,95.9717,49,96.9684,59,4.53284,122,"13",35,455,21,13,32,32,63,FALSE,0
"36","Western Kentucky",2008,68.7887,110,66.5432,99,110.914,28,111.076,54,94.3478,28,97.011,60,14.0646,45,"12",36,456,4,12,16,32,72,TRUE,0
"37","Texas A&M",2008,65.0078,253,61.5639,285,107.464,67,112.029,46,93.7989,25,92.4268,18,19.6026,22,"9",37,457,14,9,32,32,49,FALSE,0
"38","UCLA",2008,65.0976,246,63.1761,220,113.555,10,118.735,6,91.6434,8,88.16,4,30.5753,2,"1",38,458,13,1,4,32,51,TRUE,0
"39","Texas",2008,65.3642,230,63.0818,226,113.986,8,119.757,4,98.3626,80,94.9061,40,24.8513,8,"2",39,459,15,2,8,32,75,TRUE,0
"40","Miami FL",2008,68.1418,131,64.7318,156,107.232,73,112.167,44,98.8707,91,97.7713,67,14.3957,44,"7",40,460,36,7,32,32,72,FALSE,0
"41","Stanford",2008,64.2448,277,62.7524,241,108.798,53,113.328,36,93.2203,23,89.3924,6,23.9361,9,"3",41,461,18,3,16,32,82,TRUE,0
"42","Marquette",2008,69.0403,98,66.3008,107,109.304,45,113.463,34,92.9481,19,91.6188,14,21.8442,16,"6",42,462,38,6,32,32,81,FALSE,0
"43","Pittsburgh",2008,65.6434,220,63.1376,221,111.22,24,116.407,13,99.201,97,96.8952,57,19.5116,23,"4",43,463,26,4,32,32,54,FALSE,0
"44","Michigan St.",2008,64.1595,278,62.7366,243,110.648,32,115.444,18,96.6843,55,94.5625,35,20.8814,17,"5",44,464,35,5,16,32,65,TRUE,1
"45","Mississippi St.",2008,69.0038,99,65.8268,122,104.708,123,107.347,110,93.5734,24,91.5296,12,15.8174,35,"8",45,465,34,8,32,32,74,FALSE,0
"46","Memphis",2008,70.5062,59,67.7113,63,112.778,18,114.695,25,85.6765,1,85.3169,1,29.3779,3,"1",46,466,37,1,2,32,77,TRUE,0
"47","Georgetown",2008,62.1911,312,59.8577,316,111.212,25,114.989,23,92.6521,17,90.0051,8,24.9836,7,"2",47,467,47,2,32,32,70,FALSE,0
"48","Davidson",2008,68.3431,122,66.0806,111,113.318,12,114.056,30,92.4581,15,93.5027,25,20.5532,18,"10",48,468,51,10,8,32,74,TRUE,1
"49","Wisconsin",2008,62.192,311,60.8809,300,108.495,56,113.619,32,86.5633,2,86.2081,2,27.4107,6,"3",49,469,2,3,16,32,72,TRUE,0
"50","Kansas St.",2008,72.2437,26,69.2125,29,108.293,58,113.383,35,95.0426,37,94.4917,33,18.8909,29,"11",50,470,42,11,32,32,55,FALSE,0
"51","Siena",2008,69.7255,80,66.6906,95,108.872,50,108.144,91,100.328,124,101.391,125,6.75339,99,"13",51,471,20,13,32,32,72,FALSE,0
"52","Villanova",2008,69.3156,91,67.2121,82,105.009,114,108.903,81,100.144,119,95.9216,45,12.9811,55,"12",52,472,7,12,16,32,84,TRUE,0
"53","UNLV",2008,65.4844,226,63.0988,224,105.643,102,110.183,67,94.9099,35,96.5636,53,13.6193,50,"8",53,473,11,8,32,32,56,FALSE,0
"54","Kansas",2008,68.8789,106,66.8546,88,117.53,1,121.433,1,89.3201,4,87.4681,3,33.9647,1,"1",54,474,43,1,1,32,75,TRUE,0
"55","Tennessee",2008,72.725,16,69.5841,21,113.093,13,117.787,7,97.7163,74,95.4494,43,22.3372,15,"2",55,475,16,2,16,32,76,TRUE,0
"56","Butler",2008,59.9474,332,58.5955,329,112.905,16,116.138,16,95.2259,40,96.8401,56,19.2975,26,"7",56,476,58,7,32,32,71,FALSE,0
"57","Louisville",2008,66.9599,174,64.6887,158,106.523,85,111.828,48,90.9933,7,88.6299,5,23.198,11,"3",57,477,39,3,8,32,78,TRUE,0
"58","Oklahoma",2008,65.0528,251,62.5674,254,103.673,138,109.474,74,96.7102,56,94.3986,32,15.0751,40,"6",58,478,29,6,32,32,48,FALSE,0
"59","Washington St.",2008,59.3335,335,57.7887,334,111.872,22,116.272,15,94.7272,32,92.3676,16,23.9044,10,"4",59,479,6,4,16,32,61,TRUE,0
"60","Notre Dame",2008,71.4254,40,68.9559,35,112.861,17,116.335,14,98.1502,78,97.1396,62,19.1955,27,"5",60,480,30,5,32,32,41,FALSE,0
"61","Arkansas",2008,69.2934,92,66.2236,109,106.105,89,109.701,70,96.5362,54,94.8336,37,14.8678,42,"9",61,481,63,9,32,32,77,FALSE,0
"62","North Carolina",2008,76.0195,3,71.9191,8,115.213,4,120.686,2,94.7521,33,92.5415,20,28.1446,4,"1",62,482,31,1,4,32,108,TRUE,0
"63","Belmont",2008,71.4309,39,68.1091,49,109.9,41,109.436,75,102.552,187,106.857,231,2.57916,140,"15",63,931,60,15,64,64,70,FALSE,0
"64","Duke",2008,74.3046,12,70.9709,12,112.963,15,117.443,8,93.0572,20,89.8149,7,27.6285,5,"2",64,932,49,2,32,64,71,TRUE,0
"65","Arizona",2008,64.8425,261,62.8325,238,109.188,46,116.577,10,102.002,174,96.3494,49,20.2271,19,"10",65,933,64,10,64,64,65,FALSE,0
"66","West Virginia",2008,66.2223,195,63.0942,225,111.246,23,113.57,33,95.1209,38,93.4302,24,20.14,20,"7",66,934,5,7,16,64,75,TRUE,0
"67","Georgia",2008,66.9528,175,64.1104,184,100.968,184,104.018,167,99.5491,109,96.1227,47,7.89531,94,"14",67,935,46,14,64,64,61,FALSE,0
"68","Xavier",2008,65.1599,243,62.8978,235,115.214,3,116.413,12,95.7631,45,94.068,30,22.3453,13,"3",68,936,1,3,8,64,73,TRUE,0
"69","Baylor",2008,70.9547,51,69.34,25,110.184,36,115.389,19,101.567,157,100.017,97,15.3717,38,"11",69,937,61,11,64,64,79,FALSE,0
"70","Purdue",2008,65.7475,213,65.7787,125,104.211,130,109.692,71,92.1032,11,91.6027,13,18.089,30,"6",70,938,24,6,32,64,90,TRUE,0
"71","San Diego",2008,65.2102,238,62.4343,257,98.9013,220,101.501,198,95.9717,49,96.9684,59,4.53284,122,"13",71,939,21,13,32,64,70,TRUE,1
"72","Connecticut",2008,70.4032,60,66.6029,98,110.108,38,115.173,20,97.3841,67,96.0511,46,19.1215,28,"4",72,940,54,4,64,64,69,FALSE,0
"73","Western Kentucky",2008,68.7887,110,66.5432,99,110.914,28,111.076,54,94.3478,28,97.011,60,14.0646,45,"12",73,941,4,12,16,64,101,TRUE,1
"74","Drake",2008,62.7473,302,61.8906,277,115.172,5,119.786,3,97.1533,63,97.4463,66,22.3393,14,"5",74,942,50,5,64,64,99,FALSE,0
"75","Texas A&M",2008,65.0078,253,61.5639,285,107.464,67,112.029,46,93.7989,25,92.4268,18,19.6026,22,"9",75,943,14,9,32,64,67,TRUE,1
"76","BYU",2008,70.0947,69,67.4202,75,105.24,108,106.852,119,90.2512,6,90.7846,11,16.0675,34,"8",76,944,57,8,64,64,62,FALSE,0
"77","Mississippi Valley St.",2008,65.0411,252,62.3905,258,93.0497,306,92.1127,322,101.045,142,107.08,242,-14.9674,304,"16",77,945,33,16,64,64,29,FALSE,0
"78","UCLA",2008,65.0976,246,63.1761,220,113.555,10,118.735,6,91.6434,8,88.16,4,30.5753,2,"1",78,946,13,1,4,64,70,TRUE,0
