victor,season,victor_avg_score,victor_avg_assists,victor_avg_blocks,victor_avg_dreb,victor_avg_fgp,victor_avg_oreb,victor_avg_steals,victor_avg_fta,victor_avg_3fgp,victor_avg_to,victor_avg_opp_score,round,region_number,region_name,seed_t1,score_t1,name_t1,name_t2,score_t2,seed_t2,loser,upset,victor_seed,loser_seed,loser_avg_score,loser_avg_assists,loser_avg_blocks,loser_avg_dreb,loser_avg_fgp,loser_avg_oreb,loser_avg_steals,loser_avg_fta,loser_avg_3fgp,loser_avg_to,loser_avg_opp_score,season_avg_score,season_avg_assists,season_avg_blocks,season_avg_dreb,season_avg_fgp,season_avg_oreb,season_avg_steals,season_avg_fta,season_avg_3fgp,season_avg_to,season_avg_opp_score
UCLA,2007,70.76470588235294,14.323529411764707,3.2058823529411766,22.11764705882353,47.34705882352941,10.794117647058824,7.529411764705882,17.38235294117647,36.30294117647059,12.323529411764707,59.5,4,2,West,1,55,Kansas,UCLA,68,2,Kansas,1,2,1,77.13888888888889,16.47222222222222,6.416666666666667,26.52777777777778,49.00555555555555,12.833333333333334,8.972222222222221,21.27777777777778,38.1,14.36111111111111,62.05555555555556,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Georgetown,2007,68.94444444444444,14.805555555555555,5.083333333333333,22.97222222222222,50.53055555555556,11.083333333333334,5.166666666666667,17.88888888888889,36.43888888888889,13.416666666666666,57.94444444444444,4,3,East,1,84,North Carolina,Georgetown,96,2,North Carolina,1,2,1,85.45714285714286,18.485714285714284,4.428571428571429,26.742857142857144,50.028571428571425,14.028571428571428,8.028571428571428,24.542857142857144,36.502857142857145,13.657142857142857,68.97142857142858,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
USC,2007,71.47222222222223,12.527777777777779,4,24.86111111111111,47.672222222222224,9.36111111111111,5.527777777777778,21.055555555555557,39.419444444444444,14.36111111111111,65.55555555555556,2,3,East,4,68,Texas,USC,87,5,Texas,1,5,4,81.71428571428571,13.685714285714285,5.628571428571429,25.97142857142857,44.61142857142857,13.771428571428572,7.485714285714286,24.285714285714285,39.06285714285714,12.4,72.22857142857143,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
UNLV,2007,75.21212121212122,14.606060606060606,5.484848484848484,22.78787878787879,44.95757575757576,12.363636363636363,7.242424242424242,19.727272727272727,36.912121212121214,11.272727272727273,66.96969696969697,2,1,Midwest,2,68,Wisconsin,UNLV,74,7,Wisconsin,1,7,2,70.37142857142857,13.771428571428572,3.257142857142857,23.714285714285715,46.18,11.257142857142858,5.628571428571429,23.571428571428573,35.534285714285716,11.228571428571428,57.97142857142857,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Vanderbilt,2007,75.41935483870968,16.806451612903224,2.7096774193548385,23.225806451612904,45.28387096774193,10.387096774193548,7.32258064516129,19.06451612903226,36.774193548387096,12.35483870967742,70.29032258064517,2,3,East,3,74,Washington St,Vanderbilt,78,6,Washington St,1,6,3,66.8529411764706,13.882352941176471,4.5588235294117645,22.735294117647058,46.70882352941177,7.970588235294118,6.647058823529412,17.441176470588236,37.438235294117646,10.441176470588236,59.529411764705884,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Butler,2007,68.11764705882354,12.352941176470589,1.7058823529411764,20.470588235294116,44.15,9.029411764705882,5.264705882352941,20.294117647058822,36.44705882352941,9.205882352941176,57.529411764705884,2,1,Midwest,4,59,Maryland,Butler,62,5,Maryland,1,5,4,79.48484848484848,17.393939393939394,6.848484848484849,26.424242424242426,47.82121212121212,13.090909090909092,7.454545454545454,23.393939393939394,38.7030303030303,15.93939393939394,67.72727272727273,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Tennessee,2007,81.97058823529412,15.852941176470589,3.0294117647058822,22.147058823529413,45.544117647058826,13.470588235294118,9.764705882352942,23.764705882352942,37.03529411764706,13.911764705882353,75.61764705882354,2,4,South,4,74,Virginia,Tennessee,77,5,Virginia,1,5,4,78.1923076923077,12.807692307692308,3.269230769230769,25.615384615384617,43.80384615384615,13.153846153846153,4.8076923076923075,24.884615384615383,37.02307692307692,14.115384615384615,71.46153846153847,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Winthrop,2007,74.42424242424242,16.484848484848484,3.727272727272727,25.303030303030305,47.90909090909091,12.242424242424242,7.818181818181818,19.96969696969697,35.10909090909091,13.212121212121213,61.878787878787875,1,1,Midwest,6,64,Notre Dame,Winthrop,74,11,Notre Dame,1,11,6,80.83870967741936,17.419354838709676,3.4516129032258065,26,46.2,12.580645161290322,8.419354838709678,23.258064516129032,38.906451612903226,13.03225806451613,67.96774193548387,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Purdue,2007,68.75,13.625,2.75,21.21875,45.725,11.59375,7.90625,20.28125,35.58125,14.21875,63.28125,1,1,Midwest,8,63,Arizona,Purdue,72,9,Arizona,1,9,8,77.7,16.366666666666667,3.3333333333333335,24.9,47.56666666666666,12.133333333333333,6.1,24.1,34.95333333333333,14,73.03333333333333,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Michigan St,2007,65.12121212121212,15.969696969696969,4.575757575757576,23.484848484848484,47.38787878787879,11.06060606060606,4.9393939393939394,19.03030303030303,36.84848484848485,14.727272727272727,57,1,3,East,8,49,Marquette,Michigan St,61,9,Marquette,1,9,8,71.60606060606061,13.818181818181818,3.393939393939394,22.333333333333332,43.47272727272727,14.515151515151516,8.666666666666666,22.78787878787879,33.518181818181816,14.545454545454545,65,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
